,variable,value
733,Paint.,
734,Paint.,
735,Paint.,
736,Paint.,
737,Paint.,
738,Paint.,
739,Paint.,
740,Paint.,
741,Paint.,
742,Paint.,
743,Paint.,
744,Paint.,
745,Paint.,
746,Paint.,
747,Paint.,
748,Paint.,
749,Paint.,
750,Paint.,
751,Paint.,
752,Paint.,
753,Paint.,
754,Paint.,
755,Paint.,
756,Paint.,
757,Paint.,
758,Paint.,
759,Paint.,
760,Paint.,
761,Paint.,
762,Paint.,
763,Paint.,
764,Paint.,
765,Paint.,
766,Paint.,
767,Paint.,
768,Paint.,
769,Paint.,
770,Paint.,
771,Paint.,
772,Paint.,
773,Paint.,
774,Paint.,
775,Paint.,
776,Paint.,
777,Paint.,
778,Paint.,
779,Paint.,
780,Paint.,
781,Paint.,
782,Paint.,
783,Paint.,
784,Paint.,
785,Paint.,
786,Paint.,
787,Paint.,
788,Paint.,
789,Paint.,
790,Paint.,
791,Paint.,
792,Paint.,
793,Paint.,
794,Paint.,
795,Paint.,
796,Paint.,
797,Paint.,
798,Paint.,
799,Paint.,
800,Paint.,
801,Paint.,
802,Paint.,
803,Paint.,
804,Paint.,
805,Paint.,
806,Paint.,
807,Paint.,
808,Paint.,
809,Paint.,
810,Paint.,
811,Paint.,
812,Paint.,
813,Paint.,
814,Paint.,
815,Paint.,
816,Paint.,
817,Paint.,
818,Paint.,
819,Paint.,
820,Paint.,
821,Paint.,
822,Paint.,
823,Paint.,
824,Paint.,
825,Paint.,
826,Paint.,
827,Paint.,
828,Paint.,
829,Paint.,
830,Paint.,
831,Paint.,
832,Paint.,
833,Paint.,
834,Paint.,
835,Paint.,
836,Paint.,
837,Paint.,
838,Paint.,
839,Paint.,
840,Paint.,
841,Paint.,
842,Paint.,
843,Paint.,
844,Paint.,
845,Paint.,
846,Paint.,
847,Paint.,
848,Paint.,
849,Paint.,
850,Paint.,
851,Paint.,
852,Paint.,
853,Paint.,
854,Paint.,
855,Paint.,
856,Paint.,
857,Paint.,
858,Paint.,
859,Paint.,
860,Paint.,
861,Paint.,
862,Paint.,
863,Paint.,
864,Paint.,
865,Paint.,
866,Paint.,
867,Paint.,
868,Paint.,
869,Paint.,
870,Paint.,
871,Paint.,
872,CODEC,8061.851
873,CODEC,32612.05
874,CODEC,9564.355
875,CODEC,37947.324
876,CODEC,9597.827
877,CODEC,10310.101
878,CODEC,17993.396
879,CODEC,23902.752999999997
880,CODEC,42332.959
881,CODEC,27782.635
882,CODEC,27868.234
883,CODEC,25511.237999999998
884,CODEC,16119.559
885,CODEC,17930.889
886,CODEC,33325.879
887,CODEC,21055.355
888,CODEC,14747.091999999999
889,CODEC,55017.419
890,CODEC,54442.126
891,CODEC,54712.969000000005
892,CODEC,20307.964
893,CODEC,21115.783
894,CODEC,17863.742
895,CODEC,19828.918999999998
896,CODEC,19054.71
897,CODEC,66766.63900000001
898,CODEC,21165.562
899,CODEC,24467.667
900,CODEC,22790.06
901,CODEC,62936.614
902,CODEC,71767.15400000001
903,CODEC,38362.391
904,CODEC,22925.141
905,CODEC,23776.687
906,CODEC,39546.524
907,CODEC,27938.839
908,CODEC,46693.337
909,CODEC,45278.735
910,CODEC,25872.362
911,CODEC,36006.312999999995
912,CODEC,30382.447
913,CODEC,29114.225
914,CODEC,29945.99
915,CODEC,30931.519
916,CODEC,30731.689
917,CODEC,50009.402
918,CODEC,31953.415
919,CODEC,72772.054
920,CODEC,60214.507000000005
921,CODEC,33315.21
922,CODEC,33926.369
923,CODEC,36493.976
924,CODEC,33052.238
925,CODEC,33691.878
926,CODEC,35729.846
927,CODEC,36517.86
928,CODEC,55628.198
929,CODEC,37173.029
930,CODEC,38129.32
931,CODEC,40782.452000000005
932,CODEC,89820.463
933,CODEC,66522.554
934,CODEC,70624.1
935,CODEC,40124.979
936,CODEC,39761.361000000004
937,CODEC,41335.734
938,CODEC,40732.377
939,CODEC,42700.89599999999
