TestTargetsPerCommit,RLMLP,RL,RRF,RF,kNN,MART,RankNet,RankBoost,Coordinate Ascent,LambdaMART,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
6,0.763736263736264,0.741147741147741,0.934065934065934,0,0,0,0,0,0,0,,,,
38,0.806919396393081,0.826857353173143,0.900441663599558,0,0,0,0,0,0,0,,,,
3,0.785714285714286,0.785714285714286,0.928571428571428,0,0,0,0,0,0,0,,,,
8,0.880392156862745,0.866013071895425,0.951960784313725,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
2,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
3,0.928571428571429,0.928571428571429,0.928571428571429,0,0,0,0,0,0,0,,,,
4,0.956666666666667,0.966666666666667,0.876666666666667,0,0,0,0,0,0,0,,,,
5,0.838181818181818,0.822222222222222,0.925454545454545,0,0,0,0,0,0,0,,,,
2,0.8,0.8,0.8,0,0,0,0,0,0,0,,,,
5,0.867272727272727,0.816161616161616,0.963636363636364,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
2,1,1,0.82,0,0,0,0,0,0,0,,,,
9,0.769473684210526,0.769980506822612,0.855438596491228,0,0,0,0,0,0,0,,,,
18,0.662825983878616,0.679100152784363,0.932100521574206,0,0,0,0,0,0,0,,,,
6,0.82967032967033,0.802197802197802,0.895604395604395,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
1,1,1,1,0,0,0,0,0,0,0,,,,
9,0.81859649122807,0.789083820662768,0.835087719298246,0,0,0,0,0,0,0,,,,
23,0.723103607770583,0.717699660807894,0.923658649398705,0,0,0,0,0,0,0,,,,
5,0.796363636363636,0.806060606060606,0.850909090909091,0.834545454545455,0.872727272727273,1,0.727272727272727,0.890909090909091,0.909090909090909,0.981818181818182,,,,
5,0.854545454545455,0.832323232323232,0.818181818181818,0.823636363636364,0.818181818181818,1,0.727272727272727,0.890909090909091,0.909090909090909,0.981818181818182,,,,
1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,,,,
4,0.836666666666667,0.833333333333333,0.703333333333333,0.703333333333333,0.666666666666667,0.866666666666667,1,0.966666666666667,0.9,0.9,,,,
5,0.865454545454546,0.816161616161616,0.967272727272727,0.974545454545454,0.963636363636364,1,1,1,0.836363636363636,0.872727272727273,,,,
6,0.88021978021978,0.798534798534799,0.889010989010989,0.885714285714286,0.879120879120879,1,0.879120879120879,0.89010989010989,0.758241758241758,0.89010989010989,,,,
1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,,,,
2,0.8,0.8,1,1,0.8,1,1,1,0.8,1,,,,
2,0.8,0.8,1,1,1,1,1,1,0.8,1,,,,
