TestTargetsPerCommit,RL,RF,RRF,MART,RankNet,RankBoost,Coordinate Ascent,LambdaMART,RLMLP,kNN,io,normal,RPA
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
79,0.652354908048722,0.614955815619775,0.922099952233102,0.917321471220444,0.685651421065202,0.791300453785526,0.700830546930977,0.835886075949367,0.660855027465966,0.797581800812037,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
2,1,0.84,0.82,1,1,0.8,0.82,0.98,1,0.8,,,
1,1,1,1,1,1,1,1,1,1,1,,,
3,0.907142857142857,0.85,0.785714285714286,0.785714285714286,1,0.928571428571429,0.892857142857143,0.792857142857143,0.885714285714286,0.714285714285714,,,
99,0.685289782244556,0.649613826709304,0.922772651134461,0.905865692096848,0.675758184863713,0.739043703365312,0.710273488655398,0.80179808131567,0.65694289629968,0.749879701537993,,,
19,0.801012145748988,0.614736842105263,0.677854251012146,0.963967611336032,0.731983805668016,0.806072874493927,0.703765182186235,0.891983805668016,0.789433198380567,0.857894736842105,,,
19,0.790121457489878,0.615748987854251,0.719392712550607,0.962348178137652,0.735748987854251,0.809311740890688,0.703805668016194,0.897206477732793,0.788421052631579,0.857894736842105,,,
19,0.822348178137652,0.618542510121457,0.796923076923077,0.946963562753036,0.734251012145749,0.796761133603239,0.70246963562753,0.89421052631579,0.838016194331984,0.857894736842105,,,
19,0.805789473684211,0.620931174089069,0.786356275303644,0.951417004048583,0.73004048582996,0.801619433198381,0.70502024291498,0.894534412955466,0.805141700404858,0.857894736842105,,,
19,0.804898785425101,0.611417004048583,0.766234817813765,0.954655870445344,0.734251012145749,0.796761133603239,0.700364372469636,0.895060728744939,0.841214574898785,0.857894736842105,,,
19,0.810688259109312,0.624939271255061,0.790323886639676,0.951417004048583,0.732874493927125,0.798785425101214,0.705789473684211,0.898259109311741,0.821821862348178,0.851012145748988,,,
19,0.757651821862348,0.632226720647773,0.803238866396761,0.951417004048583,0.732145748987854,0.807287449392713,0.710607287449393,0.890769230769231,0.825060728744939,0.844534412955465,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
52,0.669315778561062,0.610458221024259,0.926475222890318,0.922060957910015,0.718409703504043,0.782168774621606,0.688762181215012,0.868979888036492,0.655013477088949,0.846133112170849,,,
1,1,1,1,1,1,1,1,1,1,1,,,
16,0.77192513368984,0.727339572192513,0.809893048128342,0.904411764705883,0.96831550802139,0.82620320855615,0.705949197860963,0.890040106951872,0.791978609625669,0.800133689839572,,,
6,0.796703296703297,0.682417582417582,0.989010989010989,0.956043956043956,0.983516483516484,0.989010989010989,0.725274725274725,0.952747252747253,0.772527472527473,0.879120879120879,,,
