TestTargetsPerCommit,RL,RF,RRF,MART,RankNet,RankBoost,Coordinate Ascent,LambdaMART,RLMLP,kNN,compress,normal,RPA
21,0.764663243733011,0,0.922017517366355,0,0,0,0,0,0.756871035940804,0,,,
26,0.782615707144009,0,0.912062570553136,0,0,0,0,0,0.771988388969521,0,,,
89,0.723002531751512,0,0.870881928315862,0,0,0,0,0,0.723707655932877,0,,,
26,0.810901467505241,0,0.916610224157394,0,0,0,0,0,0.796742460893404,0,,,
90,0.715153097363043,0,0.878064881711291,0,0,0,0,0,0.72872482949831,0,,,
20,0.752682926829268,0,0.861254355400697,0,0,0,0,0,0.748466898954704,0,,,
22,0.79862977602108,0,0.90403162055336,0,0,0,0,0,0.785191040843215,0,,,
20,0.79787456445993,0,0.885574912891986,0,0,0,0,0,0.804982578397213,0,,,
31,0.732123655913979,0,0.913671274961598,0,0,0,0,0,0.718730798771122,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
30,0.763447911158118,0,0.918730830248546,0,0,0,0,0,0.721829719725013,0,,,
2,0.8,0,1,0,0,0,0,0,0.8,0,,,
2,1,0,0.92,0,0,0,0,0,1,0,,,
2,1,0,0.8,0,0,0,0,0,1,0,,,
21,0.819993959528843,0,0.906825732407128,0.988221081244337,0.775536091815162,0.886137118695259,0.709725158562368,0.938054968287527,0.812382965871338,0,,,
21,0.780640289942616,0.90749018423437,0.909151313802476,0.984294774992449,0.765478707339172,0.900332225913622,0.695983086680761,0.926306251887647,0.775989127151918,0.865901540320145,,,
21,0.774358199939595,0.909392932648747,0.910027182120205,0.974630021141649,0.763877982482634,0.889459377831471,0.705527031108426,0.95756569012383,0.769767441860465,0.875566294170945,,,
3,0.714285714285714,0.942857142857143,0.95,0.928571428571429,0.935714285714286,1,0.807142857142857,0.814285714285714,0.757142857142857,0.928571428571429,,,
9,0.811578947368421,0.872631578947368,0.875438596491228,0.96140350877193,0.909473684210526,0.880701754385965,0.722456140350877,0.831228070175439,0.786666666666667,0.905263157894737,,,
9,0.787368421052632,0.962456140350877,0.964210526315789,0.982456140350877,0.912982456140351,0.957894736842105,0.713684210526316,0.915789473684211,0.786666666666667,0.835087719298246,,,
12,0.817846153846154,0.925538461538462,0.928307692307692,0.973846153846154,0.810307692307692,0.883076923076923,0.749076923076923,0.862615384615385,0.820923076923077,0.835384615384615,,,
40,0.748599819331527,0.915677506775068,0.922235772357724,0.966440831074978,0.74293586269196,0.9096657633243,0.717104787714544,0.953062330623306,0.752560975609756,0.899503161698284,,,
26,0.806128043863893,0.916223189808096,0.919609740364458,0.968230930495081,0.789501693275278,0.90291888405096,0.683196258667957,0.974939525882922,0.815513626834382,0.911143363973553,,,
1,1,1,1,1,1,1,1,1,1,1,,,
19,0.806761133603239,0.908016194331984,0.90668016194332,0.997570850202429,0.783522267206477,0.911740890688259,0.718097165991903,0.910445344129555,0.819392712550607,0.872064777327935,,,
12,0.796461538461538,0.955846153846154,0.952615384615384,0.989230769230769,0.801230769230769,0.846153846153846,0.756615384615385,0.796769230769231,0.822,0.887692307692308,,,
